"film_title","category","rental_count","total_revenue","rental_rate","age_rating"
"Telegraph Voyage","Music","25","215.75","4.99","PG"
"Zorro Ark","Comedy","28","199.72","4.99","NC-17"
"Wife Turn","Documentary","27","198.73","4.99","NC-17"
"Innocent Usual","Foreign","26","191.74","4.99","PG-13"
"Hustler Party","Comedy","22","190.78","4.99","NC-17"
"Saturday Lambs","Sports","26","190.74","4.99","G"
"Titans Jerk","Sci-Fi","27","186.73","4.99","PG"
"Harry Idaho","Drama","27","177.73","4.99","PG-13"
"Torque Bound","Drama","23","169.76","4.99","G"
"Dogma Family","Animation","28","168.72","4.99","G"
